filename,if_plate_id,position,sample,status,locations,antibody,ensembl_ids,gene_names
/archive/232/232_G5_1_,232,G5,1,35,"Cytosol,Nucleoplasm",HPA027226,ENSG00000117360,PRPF3
/archive/232/232_G5_2_,232,G5,2,35,"Cytosol,Nucleoplasm",HPA027226,ENSG00000117360,PRPF3
/archive/248/248_F10_1_,248,F10,1,35,Microtubules,HPA022974,ENSG00000141519,CCDC40
/archive/248/248_F10_2_,248,F10,2,35,Microtubules,HPA022974,ENSG00000141519,CCDC40
/archive/268/268_D12_1_,268,D12,1,35,Nucleoplasm,HPA023708,"ENSG00000189376,ENSG00000259305","C8orf76,ZHX1-C8orf76"
/archive/268/268_D12_2_,268,D12,2,35,Nucleoplasm,HPA023708,"ENSG00000189376,ENSG00000259305","C8orf76,ZHX1-C8orf76"
/archive/272/272_F6_1_,272,F6,1,35,"Cytosol,Nucleoplasm",HPA029234,ENSG00000168566,SNRNP48
/archive/272/272_F6_2_,272,F6,2,35,"Cytosol,Nucleoplasm",HPA029234,ENSG00000168566,SNRNP48
/archive/280/280_G3_1_,280,G3,1,35,Vesicles,HPA020998,ENSG00000188186,LAMTOR4
/archive/280/280_G3_2_,280,G3,2,35,Vesicles,HPA020998,ENSG00000188186,LAMTOR4
/archive/320/320_F1_1_,320,F1,1,35,Nucleoplasm,HPA029321,ENSG00000144028,SNRNP200
/archive/320/320_F1_2_,320,F1,2,35,Nucleoplasm,HPA029321,ENSG00000144028,SNRNP200
/archive/332/332_B12_1_,332,B12,1,35,Nuclear speckles,HPA031188,ENSG00000175467,SART1
/archive/332/332_B12_3_,332,B12,3,35,Nuclear speckles,HPA031188,ENSG00000175467,SART1
/archive/371/371_A2_1_,371,A2,1,35,Nuclear speckles,HPA034972,ENSG00000182872,RBM10
/archive/402/402_A7_1_,402,A7,1,35,"Golgi apparatus,Nuclear speckles",HPA031190,ENSG00000175467,SART1
/archive/402/402_A7_2_,402,A7,2,35,"Golgi apparatus,Nuclear speckles",HPA031190,ENSG00000175467,SART1
/archive/402/402_H7_1_,402,H7,1,35,"Golgi apparatus,Nuclear speckles",HPA031189,ENSG00000175467,SART1
/archive/402/402_H7_2_,402,H7,2,35,"Golgi apparatus,Nuclear speckles",HPA031189,ENSG00000175467,SART1
/archive/403/403_B2_1_,403,B2,1,35,"Cytosol,Nuclear speckles",HPA038166,ENSG00000152404,CWF19L2
